name,season,team,player,score,position,age,squad,goals,order,last
,,,Leandro Paredes,o,mf,28,62,4,3,0
,,,Randal Kolo Muani,o,fw,24,9,1,4,1
,,,Gonzalo Montiel,o,df,25,36,0,4,1
Euro,2012,Italy vs England,Mario Balotelli,o,fw,22,14,4,1,0
,,,Steven Gerrad,o,mf,32,97,19,1,0
,,,Riccardo Montolivo,x,mf,27,41,1,2,0
,,,Wayne Ronney,o,fw,27,77,29,2,0
,,,Andrea Pirlo,o,mf,33,94,10,3,0
,,,Ashley Young,x,df,27,28,6,3,0
,,,Antonio Nocerino,o,mf,27,20,0,4,0
,,,Ashley Cole,x,df,32,103,0,4,0
,,,Alessandro Diamanti,o,mf,29,8,0,5,1
,,Spain vs Portugal,Xabi Alonso,x,mf,31,113,15,1,0
,,,Joao Moutinho,x,mf,26,57,2,1,0
,,,Andres Iniesta,o,mf,28,77,11,2,0
,,,Pepe,o,df,29,48,3,2,0
,,,Gerard Pique,o,df,25,50,4,3,0
,,,Nani,o,fw,26,63,13,3,0
,,,Sergio Ramos,o,df,26,100,6,4,0
,,,Bruno Alves,x,df,31,64,5,4,0
,,,Cesc Fabregas,o,mf,25,79,10,5,1
,2016,Switzerland vs Poland,Stephan Lichtsteiner,o,df,32,90,5,1,0
,,,Robert Lewandowski,o,fw,28,85,34,1,0
,,,Granit Xhaka,x,mf,24,50,6,2,0
,,,Arkadiusz Milik,o,fw,22,32,11,2,0
,,,Xherdan Shaqiri,o,mf,25,61,18,3,0
,,,Kamil Glik,o,df,28,52,3,3,0
,,,Fabian Schar,o,df,25,32,6,4,0
,,,Jakub Blaszczykowski,o,fw,31,84,17,4,0
,,,Ricardo Rodriguez,o,df,24,44,0,5,1
,,,Grzegorz Krychowiak,o,mf,26,46,2,5,1
,,Portugal vs Poland,Christiano Ronaldo,o,fw,31,135,62,1,0
,,,Robert Lewandowski,o,fw,28,85,34,1,0
,,,Renato Sanches,o,mf,19,12,1,2,0
,,,Arkadiusz Milik,o,fw,22,32,11,2,0
,,,Joao Moutinho,o,mf,30,101,4,3,0
,,,Kamil Glik,o,df,28,52,3,3,0
,,,Nani,o,fw,30,108,21,4,0
,,,Jakub Blaszczykowski,x,fw,31,84,17,4,0
,,,Ricardo Quaresma,o,fw,33,68,8,5,1
,2022,Switzerland vs France,Mario Gavranovic,o,fw,32,57,15,1,0
,,,Paul Pogba,o,mf,28,85,11,1,0
,,,Fabian Schar,o,df,30,73,8,2,0
,,,Olivier Giroud,o,fw,35,117,46,2,0
,,,Manuel Akanji,o,df,26,39,0,3,0
,,,Marcus Thuram,o,fw,24,6,0,3,0
,,,Ruben Vargas,o,fw,23,20,2,4,0
,,,Presnel Kimpembe,o,df,26,52,0,4,0
,,,Admir Mehmedi,o,fw,30,85,10,5,1
,,,Kylian Mbappe,x,fw,23,50,17,5,1
,,Spain vs Switzerland,Sergio Busquets,x,mf,33,148,2,1,0
,,,Mario Gavranovic,o,fw,32,57,15,1,0
,,,Dani Olmo,o,mf,23,20,3,2,0
,,,Fabian Schar,x,df,30,73,8,2,0
,,,Rodri,x,mf,25,37,1,3,0
,,,Manuel Akanji,x,df,26,39,0,3,0
,,,Gerard Moreno,o,fw,29,19,5,4,0
,,,Ruben Vargas,x,fw,23,20,2,4,0
,,,Mikel Oyarzabal,o,fw,24,23,5,5,1
,,Italy vs Spain,Manuel Locatelli,x,mf,23,20,3,5,1
,,,Dani Olmo,x,mf,23,20,3,1,0
,,,Andrea Belotti,o,fw,28,45,12,1,0
,,,Gerard Moreno,o,fw,29,19,5,2,0
,,,Leonardo Bonucci,o,df,34,129,8,2,0
,,,Thiago Alcantara,o,mf,30,64,1,3,0
,,,Federico Bernardeschi,o,fw,27,51,6,3,0
,,,Alvaro Morata,x,fw,29,55,22,4,1
,,,Jorginho,o,mf,30,41,5,4,1
,,Italy vs England,Domenico Beradi,o,fw,27,23,5,1,0
,,,Harry Kane,o,fw,28,69,38,1,0
,,,Andrea Belotti,x,fw,28,45,12,2,0
,,,Harry Maguire,o,df,28,43,4,2,0
,,,Leonardo Bonucci,o,df,34,129,8,3,0
,,,Marcus Rashford,x,fw,24,56,12,3,0
,,,Federico Bernardeschi,o,fw,27,51,6,4,0
,,,Jadon Sancho,x,fw,21,29,3,4,0
,,,Jorginho,x,mf,30,41,5,5,1
,,,Bukayo Saka,x,fw,20,11,1,5,1
Asian Cup,2015,Japan vs UAE,Keisuke Honda,x,mf,29,76,27,1,0
,,,Omar Abdulrahman,o,mf,24,24,2,1,0
,,,Makoto Hasebe,o,df,31,97,2,2,0
,,,Ali Mabkhout,o,fw,25,28,20,2,0
,,,Gaku Shibasaki,o,mf,23,11,2,3,0
,,,Khamis Esmaeel,x,mf,26,25,0,3,0
,,,Yohei Toyoda,o,fw,30,11,1,4,0
,,,Majed Hassan,o,mf,23,21,0,4,0
,,,Masato Morishige,o,df,28,28,1,5,0
,,,Habib Al Fardan,o,mf,25,26,4,5,0
,,,Shinji Kagawa,x,mf,26,74,20,6,1
,,,Iasmail Ahmed,o,df,32,18,1,6,1
,,Iran vs Iraq,Ehsan Hajsafi,x,df,25,79,4,1,0
,,,Saad Abdul Ameer,x,mf,23,52,1,1,0
,,,Morteza Pouralignaji,o,df,23,6,1,2,0
,,,Waleed Salem Al-Lami,o,df,23,33,1,2,0
,,,Javad Nekounam,o,mf,35,158,36,3,0
,,,Dhurgham Ismail,o,df,21,28,2,3,0
,,,Seyed Jalal Hosseini,o,df,33,101,6,4,0
,,,Ali Adnan,o,df,22,32,1,4,0
,,,Vouria Ghafoori,o,df,28,6,0,5,0
,,,Younis Mahmoud,o,fw,36,114,39,5,0
,,,Alireza Jahanbaksh,o,fw,22,16,1,6,0
,,,Yaser Kasim,o,mf,24,12,2,6,0
,,,Andranik Teymourian,o,mf,32,93,9,7,0
,,,Marwan Hussein,o,fw,23,14,0,7,0
,,,Vahid Amiri,x,fw,27,5,0,8,1
,,,Salam Shakir,o,df,29,80,4,8,1
,2019,Australia vs Uzbekistan,Mark Milligan,o,df,34,101,6,1,0
,,,Otabek shukurov,o,mf,23,32,2,1,0
,,,Aziz Behich,x,df,29,46,2,2,0
,,,Islom Tukhtakhuzhaev,x,df,30,80,1,2,0
,,,Robbie Kruse,o,fw,31,77,5,3,0
,,,Ikromzhon Alibaev,o,mf,25,13,0,3,0
,,,Apostolos Giannou,o,fw,29,15,2,4,0
,,,Marat Bikmaev,x,fw,33,44,2,4,0
,,,Mathew Leckie,o,fw,28,64,9,5,1
,,Vietnam vs Jordan,Ngoc Hai Que,o,df,26,28,1,1,0
,,,Baha'a Abdulrahman,o,mf,32,74,4,1,0
,,,Hung Dung Do,o,mf,26,13,0,2,0
,,,Baha'a Faisal,x,fw,24,26,3,2,0
,,,Xuan Truong Luong,o,mf,24,27,0,3,0
,,,Ahmad Sameer,x,mf,28,36,3,3,0
,,,Minh Vuong Tran,x,mf,24,6,0,4,0
,,,Ahmed Ersan,o,fw,24,8,0,4,0
,,,Tien Dung Bui,o,df,24,28,0,5,1
,2023,Iran vs Syria,Karim Ansarifard,o,fw,34,136,30,1,0
,,,Pablo Sabbag,o,fw,27,4,0,1,0
,,,Ramin Rezaeian,o,df,34,79,6,2,0
,,,Fahd Youssef,x,fw,37,41,0,2,0
,,,Omid Ebrahimi,o,mf,37,77,0,3,0
,,,Aiham Ousou,o,df,24,4,0,3,0
,,,Mehdi Torabi,o,fw,30,80,7,4,0
,,,Alaa Al-Dali,o,fw,27,21,2,4,0
,,,Ehsan Hajsafi,o,df,34,165,7,5,1
,,Saudi vs Korea,Mohamed Kanno,o,mf,30,57,3,1,0
,,,Heung-min Son,o,fw,32,130,44,1,0
,,,Saud Abdulhamid,o,df,25,50,1,2,0
,,,Young-gwon Kim,o,df,34,137,7,2,0
,,,Sami Al-Najei,x,mf,27,30,2,3,0
,,,Gue-sung Cho,o,fw,26,40,9,3,0
,,,Abdulrahman Ghareeb,x,fw,27,34,2,4,1
,,,Hee-chan Hwang,o,fw,28,71,13,4,1
,,Tajikistan vs UAE,Akhtam Nazarov,o,df,32,79,5,1,0
,,,Abdulla Idrees,o,df,25,15,0,1,0
,,,Vakhdat Khanonov,o,df,24,32,3,2,0
,,,Caio Canedo,x,fw,34,43,9,2,0
,,,Ekhson Pandzhshanbe,o,mf,25,50,5,3,0
,,,Fabio Lima,o,mf,31,31,10,3,0
,,,Rustam Soirov,o,fw,22,21,2,4,0
,,,Ali Saleh,o,fw,24,39,3,4,0
,,,Alisher Shukurov,o,mf,22,6,0,5,1
,,Uzbekistan vs Qatar,Otabek shukurov,o,mf,28,72,7,1,0
,,,Akram Afif,o,fw,28,104,33,1,0
,,,Rustam Ashurmatov,x,df,28,46,0,2,0
,,,Almoez Ali,x,fw,28,110,43,2,0
,,,Shakhboz Umarov,o,fw,25,8,0,3,0
,,,Almahdi Ali,x,df,32,63,0,3,0
,,,Zafarmuroud Abdirakhmatov,x,df,21,4,0,4,0
,,,Sultan Al-Brake,o,df,28,28,0,4,0
,,,Jaloliddin Masharipov,x,fw,31,65,12,5,1
,,,Pedro Miguel,o,df,34,91,0,5,1
Gold Cup,2019,Mexico vs Costa Rica,Raul Jimenez,x,fw,28,98,21,1,0
,,,Celso Borges,o,mf,31,130,22,1,0
,,,Luis Montes,o,mf,33,34,5,2,0
,,,Elias Aguilar,o,mf,28,27,2,2,0
,,,Roberto Alvarado,o,fw,21,15,2,3,0
,,,Randall Leal,x,fw,22,13,0,3,0
,,,Jesus Gallardo,o,df,25,46,0,4,0
