name,season,team,player,score,position,age,goals,period,order,last
,,,Daryl Horgan,o,mf,28,4,1,3,0
,,,Sergi Canos,o,mf,23,30,6,4,0
,,,Scott Kashket,x,fw,24,8,2,4,0
,,,Marcus Forss,o,fw,21,20,3,5,1
,,WBA vs Brentford,Charile Austin,o,fw,31,75,2,1,0
,,,Ivan Toney,o,fw,24,33,2,1,0
,,,Conor Gallagher,o,mf,20,8,1,2,0
,,,Josh Dasilva,o,mf,22,16,3,2,0
,,,Kyle Edwards,o,mf,22,3,3,3,0
,,,Tarique Fosu-Henry,o,mf,25,13,2,3,0
,,,Conor Townsend,o,df,27,0,3,4,0
,,,Marcus Forss,o,fw,21,20,3,4,0
,,,Grady Diangana,x,mf,22,9,2,5,1
,,,Christian Norgaard,o,mf,26,0,1,5,1
,,Newcastle vs Newport,Callum Wilson,o,fw,28,73,1,1,0
,,,Mickey Demetriou,o,df,30,4,2,1,0
,,,Joelinton,x,fw,24,19,2,2,0
,,,Tristan Abrahams,o,fw,22,8,2,2,0
,,,Fabian schar,o,df,29,14,3,3,0
,,,Josh Sheehan,o,mf,25,5,2,3,0
,,,Jonjo Shelvey,o,mf,28,30,6,4,0
,,,Ryan Taylor,x,fw,32,2,1,4,0
,,,Jacob Murphy,o,mf,25,25,3,5,0
,,,Matthew Dolan,o,df,27,7,2,5,0
,,,Sean Longstaff,o,mf,23,2,3,6,1
,,,Brandon Cooper,x,df,20,1,1,6,1
,,Liverpool vs Arsenal,James Milner,o,df,34,46,6,1,0
,,,Alexandre Lacazette,o,fw,29,177,4,1,0
,,,Georginio Wijnaldum,o,mf,30,64,5,2,0
,,,Cedric Soares,o,df,29,2,2,2,0
,,,Takumi Minamino,o,fw,25,11,2,3,0
,,,Mohamed Elneny,x,mf,28,8,5,3,0
,,,Divok Origi,x,fw,25,46,6,4,0
,,,Ainsley Maitland-Niles,o,mf,23,3,6,4,0
,,,Curtis Jones,o,mf,19,3,2,5,0
,,,Nicolas Pepe,o,fw,25,55,2,5,0
,,,Harry Wilson,x,mf,23,32,1,6,1
,,,Joe Willock,o,mf,21,7,4,6,1
,2021-2022,Sheff Wed vs Huddersfield,Sam Hutchinson,o,df,32,6,8,1,0
,,,Jordan Rhodes,o,fw,30,86,1,1,0
,,,Dennis Adeniran,o,mf,22,3,1,2,0
,,,Sorba Thomas,o,fw,22,3,2,2,0
,,,Massimo Luongo,x,mf,29,14,3,3,0
,,,Danel Sinani,o,mf,24,21,1,3,0
,,,Liam Palmer,x,df,30,2,9,4,1
,,,Lewis O'brien,o,mf,23,8,3,4,1
,,Crawley vs Gillingham,Geroge Francomb,o,df,30,8,2,1,0
,,,Olly Lee,o,mf,30,7,2,1,0
,,,Tom Dallison-Libson,o,df,25,3,2,2,0
,,,Vadaine Oliver,o,fw,30,33,2,2,0
,,,Tony Craig,o,df,36,1,2,3,0
,,,Danny Lloyd,o,fw,30,8,1,3,0
,,,Jack Powell,o,mf,27,4,2,4,0
,,,Daniel Phillips,o,mf,20,1,1,4,0
,,,Ashely Nadesan,o,fw,27,14,2,5,0
,,,Stuart O'Keefe,o,mf,30,4,2,5,0
,,,Jake Hessenthaler,o,mf,27,5,2,6,0
,,,David Tutonda,o,df,26,0,1,6,0
,,,James Tilley,o,mf,23,8,2,7,0
,,,Christian Magahoma,o,df,24,0,2,7,0
,,,Will Ferry,o,mf,21,1,1,8,0
,,,Gerlad Sithole,o,fw,19,0,2,8,0
,,,Archie Davies,o,fw,23,1,2,9,0
,,,Max Ehmer,o,df,29,1,1,9,0
,,,Ludwig Francillette,x,df,22,1,1,10,1
,,,Harvey Lintott,o,df,18,0,1,10,1
,,Swindon vs Cambridge U,Jack Payne,x,mf,27,19,2,1,0
,,,Joe Ironside,o,fw,28,27,2,1,0
,,,Harry Mckirdy,x,mf,24,5,1,2,0
,,,Sam Smith,o,fw,23,5,1,2,0
,,,Louis Reed,o,mf,24,2,1,3,0
,,,Geroge Williams,o,df,28,2,1,3,0
,,,Rob Hunt,x,df,26,0,2,4,1
,,Exeter vs Wycombe,Jack Sparkes,x,df,21,5,3,1,0
,,,Daryl Horgan ,o,mf,29,4,2,1,0
,,,Pierce Sweeny,o,df,27,5,3,2,0
,,,Alex Samuel,x,fw,26,2,3,2,0
,,,Ben Seymour,o,fw,22,1,3,3,0
,,,Anis Mehmeti,o,mf,21,10,2,3,0
,,,Jevani Brown,o,fw,27,14,1,4,0
