date,호기,total,mean,max,min,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020-03-01,1,43964,1832,8601,202,8601,202,344,483,438,490,598,401,372,1017,1304,975,1325,1186,563,379,202,383,257,436,875,3308,5860,5773,8601,8397
2020-03-02,1,163473,6811,9938,0,9938,382,8837,9230,9938,7883,8053,8442,7118,7539,7947,9137,9261,8920,8856,1065,0,0,382,9201,9261,9389,7830,6783,4929,3472
2020-03-03,1,8824,368,1356,0,1356,73,1045,200,317,387,302,0,0,0,0,0,370,934,1268,1356,968,586,323,349,254,92,73,0,0,0
2020-03-04,1,147205,6134,9877,0,9877,229,229,2594,2298,3588,6108,9466,9864,9877,9849,8881,8755,0,0,0,0,1664,6476,9753,9844,9773,9735,9691,9387,9373
2020-03-05,1,117100,4879,9343,0,9343,554,9343,9161,8697,7920,6968,6174,5752,6575,5460,8088,7898,5697,0,0,0,0,554,7380,3718,1184,2853,4576,4723,4379
2020-03-06,1,33013,1376,4941,0,4941,36,4941,4428,4931,4382,2493,827,435,1277,937,36,0,0,70,432,604,294,572,1299,883,434,597,803,1038,1300
2020-03-07,1,33516,1397,4184,0,4184,264,1402,1169,1197,999,671,264,0,0,826,489,368,691,740,551,1172,1276,1350,1666,3935,4184,3344,2979,2137,2106
2020-03-08,1,26623,1109,3089,176,3089,176,2177,1328,1410,2027,3089,2658,2262,1819,972,484,999,1034,484,650,765,551,468,229,250,591,176,566,957,677
2020-03-09,1,46813,1951,6442,180,6442,180,1195,1213,1212,1373,1266,1075,1094,1048,1453,675,673,1042,1089,861,473,180,523,668,1242,3660,6422,6009,6442,5924
2020-03-10,1,190621,7943,9906,2860,9906,2860,4188,2860,4336,2910,4904,4102,6876,9012,9588,9885,9906,9899,8194,9446,9858,9896,9888,7687,9879,9789,9545,9558,8828,9587
2020-03-11,1,169319,7055,9751,0,9751,1104,9751,9730,9721,9369,8156,8975,8011,8759,9045,9541,9587,9550,8654,1694,0,1104,9459,9021,7428,3699,8160,5695,2230,1980
2020-03-12,1,31558,1315,4090,145,4090,145,2241,4090,3764,2732,968,1362,809,1111,336,145,832,438,623,1481,1886,1177,557,437,547,289,1473,1520,1830,910
2020-03-13,1,77657,3236,9880,160,9880,160,728,973,474,272,445,336,160,516,432,1256,4324,4168,1936,1284,1505,2087,2489,6842,4686,5977,7281,9797,9808,9880
2020-03-14,1,133097,5546,10001,0,10001,1199,9974,9995,8408,9824,9994,9793,9783,10001,9230,6841,7050,7533,5020,0,0,0,0,7443,4715,1898,1199,1412,1538,1446
2020-03-15,1,127307,5304,9834,1276,9834,1276,1276,1331,2404,1565,1841,2510,2917,1860,2149,2842,3760,7435,8618,8369,8535,9320,8637,7586,4332,4605,8633,9651,9834,7295
2020-03-16,1,58068,2420,7961,0,7961,37,4246,1754,7166,7961,7920,7084,6489,4706,2651,2740,1753,738,263,492,215,37,0,0,0,0,0,503,613,737
2020-03-17,1,16382,683,2960,0,2960,2,149,835,1463,0,0,53,5,0,2,554,1533,838,1447,1513,533,1301,1617,2960,858,521,95,103,0,2
2020-03-18,1,45382,1891,5916,0,5916,6,0,2524,4280,533,0,0,0,10,14,6,204,658,849,1453,1552,2774,3714,2817,3004,2820,5916,3867,3673,4716
2020-03-19,1,113695,4737,8932,0,8932,1765,2908,2528,3172,4960,5064,6487,4381,6609,5362,4969,3529,1765,6524,0,0,0,6278,8932,8413,6752,5737,5333,7004,6988
2020-03-20,1,55178,2299,8833,0,8833,26,7347,8191,6850,4888,2905,1784,1844,1406,497,217,278,50,897,609,600,70,126,26,0,0,1048,2585,4127,8833
